timestamp,tripId,route,day,timeToReachExpressStation,timeToReachDestination
662,063450_1..S02R,1,Wednesday,1488384309,1488384969
662,064050_1..S02R,1,Wednesday,1488384854,1488385514
662,064550_1..S02R,1,Wednesday,1488384965,1488385625
662,065050_1..S02R,1,Wednesday,1488385102,1488385762
662,065550_1..S02R,1,Wednesday,1488385521,1488386181
662,066150_1..S02R,1,Wednesday,1488385885,1488386545
662,066750_1..S02R,1,Wednesday,1488386220,1488386880
662,067350_1..S02R,1,Wednesday,1488386580,1488387240
662,067950_1..S02R,1,Wednesday,1488386940,1488387600
662,068550_1..S02R,1,Wednesday,1488387300,1488387960
662,069150_1..S02R,1,Wednesday,1488387660,1488388320
662,061750_2..S01R,2,Wednesday,1488384687,1488385107
662,062550_2..S01R,2,Wednesday,1488384773,1488385193
662,063350_2..S01R,2,Wednesday,1488385392,1488385812
662,064150_2..S01R,2,Wednesday,1488385665,1488386085
662,064950_2..S01R,2,Wednesday,1488385924,1488386344
662,065750_2..S01R,2,Wednesday,1488386429,1488386849
662,066550_2..S01R,2,Wednesday,1488386970,1488387390
662,067350_2..S01R,2,Wednesday,1488387450,1488387870
662,068150_2..S01R,2,Wednesday,1488387930,1488388350
662,068950_2..S01R,2,Wednesday,1488388410,1488388830
662,065350_3..S01R,3,Wednesday,1488384512,1488384932
662,066150_3..S01R,3,Wednesday,1488384831,1488385251
662,066950_3..S01R,3,Wednesday,1488385350,1488385770
662,067750_3..S01R,3,Wednesday,1488385830,1488386250
662,068550_3..S01R,3,Wednesday,1488386310,1488386730
662,069350_3..S01R,3,Wednesday,1488386790,1488387210
663,063450_1..S02R,1,Wednesday,1488384328,1488384988
663,064050_1..S02R,1,Wednesday,1488384854,1488385514
663,064550_1..S02R,1,Wednesday,1488384982,1488385642
663,065050_1..S02R,1,Wednesday,1488385102,1488385762
663,065550_1..S02R,1,Wednesday,1488385539,1488386199
663,066150_1..S02R,1,Wednesday,1488385893,1488386553
663,066750_1..S02R,1,Wednesday,1488386220,1488386880
663,067350_1..S02R,1,Wednesday,1488386580,1488387240
663,067950_1..S02R,1,Wednesday,1488386940,1488387600
663,068550_1..S02R,1,Wednesday,1488387300,1488387960
663,069150_1..S02R,1,Wednesday,1488387660,1488388320
663,061750_2..S01R,2,Wednesday,1488384687,1488385107
663,062550_2..S01R,2,Wednesday,1488384787,1488385207
663,063350_2..S01R,2,Wednesday,1488385382,1488385802
663,064150_2..S01R,2,Wednesday,1488385670,1488386090
