tripId (S),currentStopId (S),currentStopStatus (S),direction (S),futureStops (S),routeId (S),startDate (S),timestamp (N),vehicleTimeStamp (S)
057250_2..N01X009,226N,1,N,"OrderedDict([(u'226N', [1487605047L, 1487605047L]), (u'225N', [1487605137L, 1487605137L]), (u'224N', [1487605227L, 1487605227L]), (u'222N', [1487605407L, 1487605407L]), (u'221N', [1487605527L, 1487605527L]), (u'220N', [1487605647L, 1487605647L]), (u'219N', [1487605737L, 1487605737L]), (u'218N', [1487605797L, 1487605797L]), (u'217N', [1487605857L, 1487605857L]), (u'216N', [1487605947L, 1487605947L]), (u'215N', [1487606067L, 1487606067L]), (u'214N', [1487606187L, 1487606187L]), (u'213N', [1487606277L, 1487606277L]), (u'212N', [1487606397L, 1487606397L]), (u'211N', [1487606517L, 1487606517L]), (u'210N', [1487606637L, 1487606637L]), (u'209N', [1487606697L, 1487606697L]), (u'208N', [1487606787L, 1487606787L]), (u'207N', [1487606877L, 1487606877L]), (u'206N', [1487606967L, 1487606967L]), (u'205N', [1487607027L, 1487607027L]), (u'204N', [1487607117L, 1487607417L]), (u'201N', [1487607537L, 0])])",2,20170220,1487605044,1487605017
065800_1..S03X003,None,None,S,"OrderedDict([(u'115S', [0, 1487606280L]), (u'116S', [1487606370L, 1487606370L]), (u'117S', [1487606520L, 1487606520L]), (u'118S', [1487606580L, 1487606580L]), (u'119S', [1487606640L, 1487606640L]), (u'120S', [1487606760L, 1487606760L]), (u'121S', [1487606880L, 1487606880L]), (u'122S', [1487606940L, 1487606940L]), (u'123S', [1487607030L, 1487607030L]), (u'124S', [1487607120L, 1487607120L]), (u'125S', [1487607210L, 1487607210L]), (u'126S', [1487607330L, 1487607330L]), (u'127S', [1487607420L, 1487607420L]), (u'128S', [1487607600L, 1487607600L]), (u'132S', [1487607840L, 0])])",1,20170220,1487605044,None
065300_3..N01X019,None,None,N,"OrderedDict([(u'250N', [0, 1487605980L]), (u'249N', [1487606100L, 1487606100L]), (u'248N', [1487606190L, 1487606190L]), (u'239N', [1487606280L, 1487606280L]), (u'238N', [1487606370L, 1487606370L]), (u'237N', [1487606490L, 1487606490L]), (u'236N', [1487606610L, 1487606610L]), (u'235N', [1487606670L, 1487606670L]), (u'234N', [1487606760L, 1487606760L]), (u'233N', [1487606850L, 1487606850L]), (u'232N', [1487606940L, 1487606940L]), (u'231N', [1487607030L, 1487607030L]), (u'230N', [1487607210L, 1487607210L]), (u'229N', [1487607270L, 1487607270L]), (u'228N', [1487607420L, 1487607420L]), (u'137N', [1487607480L, 1487607480L]), (u'136N', [1487607540L, 1487607540L]), (u'135N', [1487607600L, 1487607600L]), (u'134N', [1487607690L, 1487607690L]), (u'133N', [1487607780L, 1487607780L]), (u'132N', [1487607870L, 1487607870L]), (u'131N', [1487607930L, 1487607930L]), (u'130N', [1487607990L, 1487607990L]), (u'129N', [1487608080L, 1487608080L]), (u'128N', [1487608140L, 1487608140L]), (u'127N', [1487608260L, 1487608260L]), (u'123N', [1487608500L, 1487608500L]), (u'120N', [1487608680L, 1487608680L]), (u'227N', [1487608920L, 1487608920L]), (u'226N', [1487608980L, 1487608980L]), (u'225N', [1487609070L, 1487609070L]), (u'224N', [1487609160L, 1487609160L]), (u'302N', [1487609280L, 1487609280L]), (u'301N', [1487609400L, 0])])",3,20170220,1487605044,None
063650_4..S06R,402S,2,S,"OrderedDict([(u'402S', [1487605143L, 1487605143L]), (u'405S', [1487605233L, 1487605233L]), (u'406S', [1487605353L, 1487605353L]), (u'407S', [1487605413L, 1487605413L]), (u'408S', [1487605473L, 1487605473L]), (u'409S', [1487605563L, 1487605563L]), (u'410S', [1487605653L, 1487605653L]), (u'411S', [1487605713L, 1487605713L]), (u'412S', [1487605803L, 1487605803L]), (u'413S', [1487605893L, 1487605893L]), (u'414S', [1487606013L, 1487606013L]), (u'415S', [1487606163L, 1487606163L]), (u'416S', [1487606253L, 1487606253L]), (u'621S', [1487606403L, 1487606403L]), (u'626S', [1487606673L, 1487606673L]), (u'629S', [1487606913L, 1487606913L]), (u'631S', [1487607063L, 1487607063L]), (u'635S', [1487607303L, 1487607303L]), (u'640S', [1487607573L, 1487607573L]), (u'418S', [1487607663L, 1487607663L]), (u'419S', [1487607753L, 1487607753L]), (u'420S', [1487607813L, 1487607813L]), (u'423S', [1487608113L, 1487608113L]), (u'234S', [1487608233L, 1487608233L]), (u'235S', [1487608323L, 1487608323L]), (u'239S', [1487608563L, 1487608563L]), (u'250S', [1487608773L, 0])])",4,20170220,1487605044,1487605030
054500_2..S01X015,241S,1,S,"OrderedDict([(u'241S', [1487605027L, 1487605027L]), (u'242S', [1487605087L, 1487605087L]), (u'243S', [1487605177L, 1487605177L]), (u'244S', [1487605267L, 1487605567L]), (u'245S', [1487605657L, 1487605657L]), (u'246S', [1487605747L, 1487605747L]), (u'247S', [1487605867L, 0])])",2,20170220,1487605044,1487604997
064900_5..N75R,None,None,N,"OrderedDict([(u'420N', [0, 1487605740L]), (u'419N', [1487605800L, 1487605800L]), (u'418N', [1487605890L, 1487605890L]), (u'640N', [1487605980L, 1487605980L]), (u'635N', [1487606250L, 1487606250L]), (u'631N', [1487606490L, 1487606490L]), (u'629N', [1487606610L, 1487606610L]), (u'626N', [1487606820L, 1487606820L]), (u'621N', [1487607120L, 1487607120L]), (u'416N', [1487607270L, 1487607270L]), (u'222N', [1487607420L, 1487607420L]), (u'221N', [1487607540L, 1487607540L]), (u'220N', [1487607660L, 1487607660L]), (u'219N', [1487607750L, 1487607750L]), (u'218N', [1487607810L, 1487607810L]), (u'217N', [1487607870L, 1487607870L]), (u'216N', [1487607960L, 1487607960L]), (u'215N', [1487608080L, 1487608080L]), (u'214N', [1487608200L, 1487608200L]), (u'213N', [1487608290L, 1487608290L]), (u'505N', [1487608500L, 1487608500L]), (u'504N', [1487608560L, 1487608560L]), (u'503N', [1487608710L, 1487608710L]), (u'502N', [1487608860L, 1487609040L]), (u'501N', [1487609190L, 0])])",5,20170220,1487605044,None
060500_3..N01X019,133N,1,N,"OrderedDict([(u'133N', [1487605047L, 1487605047L]), (u'132N', [1487605137L, 1487605137L]), (u'131N', [1487605197L, 1487605197L]), (u'130N', [1487605257L, 1487605257L]), (u'129N', [1487605347L, 1487605347L]), (u'128N', [1487605407L, 1487605407L]), (u'127N', [1487605527L, 1487605527L]), (u'123N', [1487605767L, 1487605767L]), (u'120N', [1487605947L, 1487605947L]), (u'227N', [1487606187L, 1487606187L]), (u'226N', [1487606247L, 1487606247L]), (u'225N', [1487606337L, 1487606337L]), (u'224N', [1487606427L, 1487606427L]), (u'302N', [1487606547L, 1487606547L]), (u'301N', [1487606667L, 0])])",3,20170220,1487605044,1487605017
058950_6..N01R,609N,1,N,"OrderedDict([(u'609N', [1487605051L, 1487605051L]), (u'608N', [1487605141L, 1487605141L]), (u'607N', [1487605231L, 1487605231L]), (u'606N', [1487605291L, 1487605291L]), (u'604N', [1487605351L, 1487605351L]), (u'603N', [1487605441L, 1487605441L]), (u'602N', [1487605531L, 1487605531L]), (u'601N', [1487605681L, 0])])",6,20170220,1487605044,1487605021
060450_4..S06R,629S,1,S,"OrderedDict([(u'629S', [1487605069L, 1487605069L]), (u'631S', [1487605219L, 1487605219L]), (u'635S', [1487605459L, 1487605459L]), (u'640S', [1487605729L, 1487605729L]), (u'418S', [1487605819L, 1487605819L]), (u'419S', [1487605909L, 1487605909L]), (u'420S', [1487605969L, 1487605969L]), (u'423S', [1487606269L, 1487606269L]), (u'234S', [1487606389L, 1487606389L]), (u'235S', [1487606479L, 1487606479L]), (u'239S', [1487606719L, 1487606719L]), (u'250S', [1487606929L, 0])])",4,20170220,1487605044,1487605039
061000_1..N03X003,115N,2,N,"OrderedDict([(u'115N', [1487605138L, 0])])",1,20170220,1487605044,1487605031
064100_3..N01X019,None,None,N,"OrderedDict([(u'250N', [0, 1487605260L]), (u'249N', [1487605380L, 1487605380L]), (u'248N', [1487605470L, 1487605470L]), (u'239N', [1487605560L, 1487605560L]), (u'238N', [1487605650L, 1487605650L]), (u'237N', [1487605770L, 1487605770L]), (u'236N', [1487605890L, 1487605890L]), (u'235N', [1487605950L, 1487605950L]), (u'234N', [1487606040L, 1487606040L]), (u'233N', [1487606130L, 1487606130L]), (u'232N', [1487606220L, 1487606220L]), (u'231N', [1487606310L, 1487606310L]), (u'230N', [1487606490L, 1487606490L]), (u'229N', [1487606550L, 1487606550L]), (u'228N', [1487606700L, 1487606700L]), (u'137N', [1487606760L, 1487606760L]), (u'136N', [1487606820L, 1487606820L]), (u'135N', [1487606880L, 1487606880L]), (u'134N', [1487606970L, 1487606970L]), (u'133N', [1487607060L, 1487607060L]), (u'132N', [1487607150L, 1487607150L]), (u'131N', [1487607210L, 1487607210L]), (u'130N', [1487607270L, 1487607270L]), (u'129N', [1487607360L, 1487607360L]), (u'128N', [1487607420L, 1487607420L]), (u'127N', [1487607540L, 1487607540L]), (u'123N', [1487607780L, 1487607780L]), (u'120N', [1487607960L, 1487607960L]), (u'227N', [1487608200L, 1487608200L]), (u'226N', [1487608260L, 1487608260L]), (u'225N', [1487608350L, 1487608350L]), (u'224N', [1487608440L, 1487608440L]), (u'302N', [1487608560L, 1487608560L]), (u'301N', [1487608680L, 0])])",3,20170220,1487605044,None
065250_4..S06R,None,None,S,"OrderedDict([(u'401S', [0, 1487605950L]), (u'402S', [1487606070L, 1487606070L]), (u'405S', [1487606160L, 1487606160L]), (u'406S', [1487606280L, 1487606280L]), (u'407S', [1487606340L, 1487606340L]), (u'408S', [1487606400L, 1487606400L]), (u'409S', [1487606490L, 1487606490L]), (u'410S', [1487606580L, 1487606580L]), (u'411S', [1487606640L, 1487606640L]), (u'412S', [1487606730L, 1487606730L]), (u'413S', [1487606820L, 1487606820L]), (u'414S', [1487606940L, 1487606940L]), (u'415S', [1487607090L, 1487607090L]), (u'416S', [1487607180L, 1487607180L]), (u'621S', [1487607330L, 1487607450L]), (u'626S', [1487607720L, 1487607720L]), (u'629S', [1487607960L, 1487607960L]), (u'631S', [1487608110L, 1487608110L]), (u'635S', [1487608350L, 1487608350L]), (u'640S', [1487608620L, 1487608620L]), (u'418S', [1487608710L, 1487608710L]), (u'419S', [1487608800L, 1487608800L]), (u'420S', [1487608860L, 1487608860L]), (u'423S', [1487609160L, 1487609160L]), (u'234S', [1487609280L, 1487609280L]), (u'235S', [1487609370L, 1487609370L]), (u'239S', [1487609610L, 1487609610L]), (u'250S', [1487609820L, 0])])",4,20170220,1487605044,None
058100_3..N01X019,227N,2,N,"OrderedDict([(u'227N', [1487605096L, 1487605096L]), (u'226N', [1487605156L, 1487605156L]), (u'225N', [1487605246L, 1487605246L]), (u'224N', [1487605336L, 1487605336L]), (u'302N', [1487605456L, 1487605456L]), (u'301N', [1487605576L, 0])])",3,20170220,1487605044,1487605042
